src/components/collaboration/AgentWorkspace.vue(32,43): error TS2339: Property 'closest' does not exist on type 'EventTarget'.
src/components/customize/MyAgentsList.vue(86,7): error TS6133: 'handleBatchDelete' is declared but its value is never read.
src/components/lifestyle/LifestyleDashboard.vue(47,40): error TS2339: Property 'datasets' does not exist on type 'ComputedRef<{ labels: string[]; datasets: { label: string; data: number[]; color: string; }[]; }>'.
src/components/lifestyle/LifestyleDashboard.vue(47,57): error TS7006: Parameter 'd' implicitly has an 'any' type.
src/components/lifestyle/LifestyleDashboard.vue(88,59): error TS2339: Property 'localStorage' does not exist on type '{ todayMeetings: Meeting[]; pendingTodos: TodoItem[]; todayTip: { id: string; content: string; category: "social" | "health" | "productivity" | "mindfulness" | "learning" | "life"; icon: string; }; ... 22 more ...; $router: Router; }'.
src/components/lifestyle/LifestyleDashboard.vue(88,114): error TS2339: Property 'localStorage' does not exist on type '{ todayMeetings: Meeting[]; pendingTodos: TodoItem[]; todayTip: { id: string; content: string; category: "social" | "health" | "productivity" | "mindfulness" | "learning" | "life"; icon: string; }; ... 22 more ...; $router: Router; }'.
src/components/lifestyle/LifestyleDashboard.vue(88,170): error TS2339: Property 'localStorage' does not exist on type '{ todayMeetings: Meeting[]; pendingTodos: TodoItem[]; todayTip: { id: string; content: string; category: "social" | "health" | "productivity" | "mindfulness" | "learning" | "life"; icon: string; }; ... 22 more ...; $router: Router; }'.
src/components/lifestyle/TravelPlanner.vue(145,12): error TS2345: Argument of type '{ class: string; onClick: (_dayIndex?: number) => void; }' is not assignable to parameter of type 'ButtonHTMLAttributes & ReservedProps & Record<string, unknown>'.
src/components/marketplace/OrderManagement.vue(183,32): error TS2339: Property 'logisticsInfo' does not exist on type 'Order'.
src/components/marketplace/OrderManagement.vue(183,55): error TS2339: Property 'logisticsInfo' does not exist on type 'Order'.
src/components/marketplace/OrderManagement.vue(185,47): error TS2339: Property 'logisticsInfo' does not exist on type 'Order'.
src/components/marketplace/SearchFilter.vue(5,1): error TS6192: All imports in import declaration are unused.
src/components/marketplace/SearchFilter.vue(5,15): error TS2305: Module '"../../types/marketplace"' has no exported member 'ProductCategory'.
src/components/marketplace/SellerCenter.vue(561,25): error TS2322: Type 'string' is not assignable to type '"digital" | "physical" | "service"'.
src/components/memory/FileManager.vue(258,63): error TS2345: Argument of type 'number | undefined' is not assignable to parameter of type 'number'.
src/components/memory/KnowledgeGraph.vue(330,61): error TS2532: Object is possibly 'undefined'.
src/components/memory/KnowledgeGraph.vue(331,61): error TS2532: Object is possibly 'undefined'.
src/components/memory/KnowledgeGraph.vue(416,65): error TS18047: '__VLS_ctx.selectedNode' is possibly 'null'.
src/components/memory/KnowledgeGraph.vue(416,97): error TS18047: '__VLS_ctx.selectedNode' is possibly 'null'.
src/components/memory/MemoryTimeline.vue(21,7): error TS6133: 'timelineRef' is declared but its value is never read.
src/components/memory/MemoryTimeline.vue(141,70): error TS2551: Property 'value' does not exist on type '"month" | "week" | "custom" | "today"'. Did you mean 'valueOf'?
src/components/memory/MemoryTimeline.vue(220,28): error TS6133: 'index' is declared but its value is never read.
src/components/memory/StorageQuota.vue(42,7): error TS6133: 'chartRef' is declared but its value is never read.
src/components/settings/NotificationSettings.vue(53,27): error TS6133: 'channels' is declared but its value is never read.
src/components/social/FriendsSystem.vue(118,55): error TS2551: Property 'value' does not exist on type '"friends" | "requests" | "groups"'. Did you mean 'valueOf'?
src/components/social/FriendsSystem.vue(265,17): error TS7053: Element implicitly has an 'any' type because expression of type '0' can't be used to index type 'Number'.
src/components/social/FriendsSystem.vue(272,52): error TS7053: Element implicitly has an 'any' type because expression of type '0' can't be used to index type 'Number'.
src/components/social/FriendsSystem.vue(279,64): error TS7053: Element implicitly has an 'any' type because expression of type '0' can't be used to index type 'Number'.
src/components/social/FriendsSystem.vue(291,53): error TS7053: Element implicitly has an 'any' type because expression of type '0' can't be used to index type 'Number'.
src/components/social/NotificationPanel.vue(125,56): error TS2551: Property 'value' does not exist on type '"system" | "all" | "message" | "interaction"'. Did you mean 'valueOf'?
src/components/social/SocialFeed.vue(10,7): error TS6133: 'containerRef' is declared but its value is never read.
src/components/social/SocialFeed.vue(155,25): error TS6133: 'image' is declared but its value is never read.
